,Customer ID,Gender,Age,Married,Number of Dependents,Tenure in Months,Phone Service,Internet Service,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Revenue,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Customer Status,Churn Category
0,0002-ORFBO,Female,37,Yes,No,9,Yes,Yes,No,Yes,One Year,Yes,Credit Card,65.6,974.81,No,No,Yes,No,Yes,Yes,No,0,0
1,0003-MKNFE,Male,46,No,No,9,Yes,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,610.28,Yes,No,No,No,No,No,Yes,0,0
2,0004-TLHLJ,Male,50,No,No,4,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,415.45,No,No,No,Yes,No,No,No,1,1
3,0011-IGKFF,Male,78,Yes,No,13,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1599.51,No,No,Yes,Yes,No,Yes,Yes,1,2
4,0013-EXCHZ,Female,75,Yes,No,3,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,83.9,289.54,No,No,No,No,Yes,Yes,No,1,2
5,0013-MHZWF,Female,23,No,Yes,9,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,722.38,No,No,No,No,Yes,Yes,Yes,0,0
6,0013-SMEOE,Female,67,Yes,No,71,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,8611.41,No,Yes,Yes,Yes,Yes,Yes,Yes,0,0
7,0014-BMAQU,Male,52,Yes,No,63,Yes,Yes,No,No,Two Year,Yes,Credit Card,84.65,6214.28,Yes,Yes,No,No,Yes,No,No,0,0
8,0015-UOCOJ,Female,68,No,No,7,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,414.06,No,Yes,No,No,No,No,No,0,0
9,0016-QLJIS,Female,43,Yes,Yes,65,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,7807.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
10,0017-DINOC,Male,47,No,No,54,No,Yes,No,Yes,Two Year,No,Credit Card,45.2,2460.55,No,Yes,No,No,Yes,Yes,No,0,0
11,0017-IUDMW,Female,25,Yes,Yes,72,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,9609.47,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,0
12,0018-NYROU,Female,58,Yes,No,5,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,444.75,No,No,No,No,No,No,No,0,0
13,0019-EFAEP,Female,32,No,No,72,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7423.25,Yes,Yes,Yes,Yes,No,Yes,No,0,0
